Sr No.,NAMC_ID,NAMC_CODE,Long_definition,Name English
1935,1989,LA-2.10,the disorder is characterized by anyatarap?r?v?va?i??a? [otherside remains unbroken],incomplete fracture
1936,1990,LA-2.11,"the disorder is characterized by a?ubahuvid?rita? [multiple fracture with tiny bone pieces], v?dan?vat [associated with pain]",cracked fracture
1937,1991,LA-2.12,"the disorder is characterized by ??kap?r?a iva ?dhm?nam [distention with feeling as filled with bristles], vipula?, visphu?ita [multiple cracks on bone]",fissured fracture
1938,1992,LA-3,-,fractures of different body parts
1939,1993,LA-3.1,-,fracture clavicle
1940,1994,LA-3.2,-,fracture of skull
1941,1995,LA-3.3,-,injury to the ear
1942,1996,LA-3.4,-,fracture nasal bone
1943,1997,LA-3.5,-,fracture mandible
1944,1998,LA-3.6,-,broken teeth
1945,1999,LA-3.7,-,fracture cervical vertebrae
1946,2000,LA-3.8,-,"fracture clavicle, head of the humerus and scapula with shoulder dislocation"
1947,2001,LA-3.9,-,fracture shaft of humerus
1948,2002,LA-3.10,-,fracture of shafts of radius and ulna
1949,2003,LA-3.11,-,fracture phallanges
1950,2004,LA-3.12,-,injury to nails
1951,2005,LA-3.13,-,fracture rib
1952,2006,LA-3.14,-,fracture femur/dislocation of hip joint
1953,2007,LA-3.15,-,fracture femur
1954,2008,LA-3.16,-,fracture tibia
1955,2009,LA-3.17,-,fracture metatarsal
1956,2010,LA-4,"the disorder is characterized by prajy??ud?ri [bones has been crushed into very small pieces], asthi spar?? ?abda? kar?ti [causes sound on touching], asthil??a? pravi??nmadhyamasthn? vid?rita? [pieces of bones have entered into the marrow cavity], bhagna? yacc?bhigh?t?na kiñcid?v?va???itam [the condition where by trauma very little portion of bone is left inside the body], unnamyam?na? k?atavadyacca majjani majjati [condition in which raising the fractured portion makes it sinks into the marrow]",intractable fracture
1957,2011,LA-5,"the disorder is characterized by bhinna? kap?la? [fracture of the pelvic bone in its flat portion], ka?y?? sandhimukta? cyuta? ca yat [dislocation and displacement of hip joint], jaghana? prati pi??a? [impacted fracture of pelvic region], asa??li??akap?la? [non jointed fracture of flat bones], lal??a? c?r?itam [communited fracture of skull bones], ?a?kha bhagna? [fracture in temporal region], ?ira? bhagna? [skull fracture], pr???ha bhagna? [fracture of backbone], stan?ntara bhagna? [fracture of sternum/mid thoracic region], durny?s?t vikriy?? gacchati [malalignment of bones due to improper setting], durnibandhan?t vikriy?? gacchati [malalignment of bones due to improper bandage], sa?k??bh?ta vikriy?? gacchati [malalignment of bones due to jolting]",irremediable fracture
1958,2012,LB,-,burn injury
1959,2013,LB-1,-,burns
1960,2014,LB-1.1,"the disorder is characterized by vivar?a? [discolouration], plu?yat? atim?tra? [excessive singeing]",Singeing (first degree)
1961,2015,LB-1.2,"the disorder is characterized by sph??a? [blister], t?vra c??a [severe sucking pain], t?vra d?ha [severe burning sensation], t?vra r?ga [severe redness], t?vra p?ka [severe inflammation], v?dan? [pain], cir?cc?pa??myanti [takes long time to subside]",blister formation(second degree)/suboptimal cautery
1962,2016,LB-1.3,"the disorder is characterized by anavag??ha? [burn is not very deep], t?lavar?a? [resembles colour of palm fruit], susa?sthita? [morphology of tissue maintained]",superficial (third degree) burn
1963,2017,LB-1.4,"the disorder is characterized by m??s?valambana? [hanging of muscles from the burnt area], g?travi?l??a? [loosening of body parts], sir?vy?p?danamatim?tra? [severe destruction of the blood vessels], sn?yu vy?p?danamatim?tra? [severe destruction of nerves], sandhya vy?p?danamatim?tra? [severe destruction of joints ,], asthi vy?p?danamatim?tra? [severe destruction of bones], jvara? [fever], d?ha? [burning sensation], pip?s?? [thirst], m?rcch?? [syncope/attacks of swooning], vra?a?c?sya cir??a r?hati? [wound takes a long time to heal], r??ha?ca vivar?? bhavati? [after healing the burnt area becomes permanently discoloured]",deep burn (fourth degree)
1964,2018,LB-2,the disorder is characterized by adhika ruj? [severe pain],"burns due to liquids such as fats, oils and water at high temperature."
1965,2019,LB-3,-,burns due to hot winds/heat stroke
1966,2020,LB-4,"the disorder is characterized by durgandha? [bad smell from the burnt site], tvaka sa?k?ca? [contraction of skin], ?abda pr?durbh?va? [occurance of sound while burning]",cautery at skin level
1967,2021,LB-5,"the disorder is characterized by kap?ta var?a? [pale ash colour like the Pigeon], alpa ?vayathu [mild swelling], alpa v?dan? [mild pain], ?u?ka sa?kucit vra?a? [dried contracted wound], rauk?ya [dryness], ??pha [oedema]",muscle cauterization
1968,2022,LB-6,"the disorder is characterized by kr???a vra?a? [black discoloration], unnatavra?a? [elevated appearance], sr?vasannir?dha? [cessation of discharges]",vessel and ligament cauterization
1969,2023,LB-7,"the disorder is characterized by kr???a vra?a? [black discoloration], unnatavra?a? [elevated appearance], sr?vasannir?dha? [cessation of discharges]",ligament cauterization
1970,2024,LB-8,"the disorder is characterized by r?k?a vra?a? [dry appearing wound], aru?a vra?at? [slight redness in wound], karka?a vra?a? [rough wound], sthira vra?a? [fixed to the underlying tissue]",bone and joint cauterization
1971,2025,LC,-,suffocation by inhalation of poisonous smoke
1972,2026,LC-1,"the disorder is characterized by ?v?sa? [breathlessness/difficult breathing], k?avathu? atyartham [exessive sneezing], ?dhm?nam [abdominal distension], k?sa? [cough], cak?u??? parid?ha? [burning sensation in eyes], cak?u??? r?ga? [redness of the eyes], sadh?ma ni?v?sa? [expiration of smoky air], ghr?ya? anyat n v?tti [inability to percieve any other smell], ras?n sarv?n n v?tti [inability to recognise any taste], ?rutirupahanyat? [dull hearing/hearing loss], tr????? [thirst], d?ha? [burning sensation], jvara? [fever], s?da? [exhaustion or tirednes of body], m?rcch?? [syncope/attacks of swooning]",suffocation by smoke/smoke poisoning
1973,2027,ST20(LD),"It is characterized by dizziness, delirium, impairment of sensory perception, fatigue on injury to vital points This may be explained by: (a) Aggravation of all the three dosha affecting the vital life. (b) Derangement of Va?i, A?al, Aiyam affecting the flow of vital life energy.",Injury pattern in the varmam or marmam (TM2)
1974,2028,LD-1,-,marmaviddha-extremities
1975,2029,LD-1.1,the disorder is characterized by ruj?bhirmara?a?/rujay? pa?cat? [pain leading to death],injury to talahr?t-marma
1976,2030,LD-1.2,the disorder is characterized by ?kk??pak?na mara?am/?k??pam?ra?am [convulsion leading to death],injury to k?ipramarma
1977,2031,LD-1.3,"the disorder is characterized by bhrama?am [vertigo], ka?panam [shaking of body], v?panam [shivering/tremors]",injury to k?rca marma
1978,2032,LD-1.4,"the disorder is characterized by ruj? [pain], ??pha? [oedema]",injury to k?rca sir? marma
1979,2033,LD-1.5,"the disorder is characterized by ruj? [pain], stabdhap?dat?/stabdhap?dat?/stambha? [stiffness in legs], khañjat? [lameness], m?ndyam [mild]",injury to gulphamarma
1980,2034,LD-1.6,the disorder is characterized by ???itak?ay??a mara?am/mara?a? asr?kk?ay?t [death due to bleeding],injury to indravabastimarma
1981,2035,LD-1.7,the disorder is characterized by khañjat? [lameness],injury to j?nu marma
1982,2036,LD-1.8,"the disorder is characterized by ??ph?bhivr?ddhi? [increase in oedema], stabdhasakthit? [stiffness of lower limb], ?rusta?bha? [stiffness of thighs]",injury to a?imarma
1983,2037,LD-1.9,the disorder is characterized by ???itak?ay?t sakthi???a? [wasting of lowerlimb due to bleeding],injury to urv? marma
1984,2038,LD-1.10,"the disorder is characterized by l?hitak?ay??a mara?am [death due to bleeding], pak??gh?ta? [hemiplegia]",injury to l?hitamarma
1985,2039,LD-1.11,"the disorder is characterized by ?a??at? [impotence], alpa?ukrat? [less quantity of semen / ?ukra]",injury to vi?apa marma
1986,2040,LD-1.12,"the disorder is characterized by ku??hat? [loss of motor function of hand], ku?itvam [deformity of upperlimb]",injury to ma?ibandhamarma
1987,2041,LD-1.13,the disorder is characterized by kau?yam [deformity of upperlimb at elbow],injury to k?rparamarma
1988,2042,LD-1.14,"the disorder is characterized by pak??gh?ta? [monoplegia of upperlimb], ku?itvam [deformity of upperlimb]",injury to kak??dhr?k marma
1989,2043,LD-2,-,vital spots of the trunk
1990,2044,LD-2.1,the disorder is characterized by sady?mara?am [intantaneous death],injury to gudamarma
1991,2045,LD-2.2,"the disorder is characterized by sady?mara?am [intantaneous death], m?trasr?v? vra?a? (?kat? bhinn?) [urine flow from wound in bladder (perforated bladder)], vra?asya (vastau) kr?cchr??a r?ha?am [wound in bladder heals with difficulty]",injury to basti marma
1992,2046,LD-2.3,the disorder is characterized by sady?mara?am [intantaneous death],injury to n?bhimarma
1993,2047,LD-2.4,the disorder is characterized by sady?mara?am [intantaneous death],injury to heart
1994,2048,LD-2.5,"the disorder is characterized by l?hitap?r?ak???hat? [chest cavity gets filled with blood / hemothorax], k?sa? [cough], ?v?sa? [breathlessness/difficult breathing], mara?am [death]",injury to stanar?hita marma
1995,2049,LD-2.6,"the disorder is characterized by kaphap?r?ak???hat? [k???ha gets filled with kapha], k?sa? [cough], ?v?sa? [breathlessness/difficult breathing], mara?am [death]",injury to stanam?lamarma
1996,2050,LD-2.7,"the disorder is characterized by v?tap?r?ak???hat? [chest cavity gets filled with air/ pneumothorax], k?sa? [cough], ?v?sa? [breathlessness/difficult breathing], raktap?r?ak???hat? [k??ta gets filled with blood]",injury to ?pasta?bhamarma
1997,2051,LD-2.8,"the disorder is characterized by raktasr?va? [bleeding into chest cavity], p?yabh?va? [pus formation], mara?am [death]",injury to apal?pamarma
1998,2052,LD-2.9,"the disorder is characterized by ???itak?aya?/raktak?aya? [diminution of blood, anemia], p???utvam [pallor], vaivar?yam [discolouration], h?nar?pa?/h?nad?ha? [emaciated body], mara?am [death]",injury to ka??kataru?aamarma
1999,2053,LD-2.10,"the disorder is characterized by adha?k?y? spar??jñ?nam [loss of tactile sensation in lower half of the body], adha?k?y? c????pagh?ta?/c????h?ni? [loss of motor functions in the lower half of the body]",injury to kukundaramarma
2000,2054,LD-2.11,"the disorder is characterized by adha?k?ya???a? [wasting of lower half of body], daurbalyam [weakness], mara?am [death], adha??ar?ra??pha? [swelling in lower half of body]",injury to nita?ba marma
2001,2055,LD-2.12,"the disorder is characterized by l?hitap?r?ak???hat? [chest cavity gets filled with blood / hemothorax], mara?am/?ar?r?ntarasambhava? [death]",injury to p?r?vasandhi marma
2002,2056,LD-2.13,"the disorder is characterized by ???it?tipravr?ttinimitt?padrava?/raktasa?k?aya? [complications arised due to blood loss/ anemia], mara?am [death]",injury to br?hatimarma
2003,2057,LD-2.14,"the disorder is characterized by b?husv?pa? [numbness in arms], b?hu???a? [wasting of arms]",injury to a?saphalakamarma
2004,2058,LD-2.15,"the disorder is characterized by stabdhab?hut? [paralyzed arms], b?hukriy?h?ni? [loss of activities of arms]",injury to a?samarma
2005,2059,LD-3,-,injury to vital spots in head and neck
2006,2060,LD-3.1,"the disorder is characterized by m?kat?/svarapra???a? [loss of voice/ speech and dumbness], svaravaikr?tam [altered voice/ speech], arasagr?hit?/ras?jñ?nam [lack of ability to taste]",injury to n?l? marma
2007,2061,LD-3.2,"the disorder is characterized by m?kat?/svarapra???a? [loss of voice/ speech and dumbness], svaravaikr?tam [altered voice/ speech], arasagr?hit?/ras?jñ?nam [lack of ability to taste]",injury to many? marma
2008,2062,LD-3.3,the disorder is characterized by calam?rdhat?/cala? ?ira? [shaking of head],injury to kr?k??ik? marma
2009,2063,LD-3.4,the disorder is characterized by sady?mara?am [intantaneous death],injury to m?tr?k?marma
2010,2064,LD-3.5,the disorder is characterized by b?dhiryam/?rutihara?am [deafness/ hearing impairment],injury to vidhuramarma
2011,2065,LD-3.6,the disorder is characterized by gandh?jñ?nam/gandhavijñ?nahara?am [Anosmia/ lack of smelling ability],injury to pha?amarma
2012,2066,LD-3.7,"the disorder is characterized by ?ndhyam [blindness], dr???i-upagh?ta? [loss of vision]",injury to ap??gamarma
2013,2067,LD-3.8,"the disorder is characterized by ?ndhyam [blindness], dr???i-upagh?ta? [loss of vision]",injury to ?vartamarma
2014,2068,LD-3.9,the disorder is characterized by sady?mara?am [intantaneous death],injury to ?a?khamarma
2015,2069,LD-3.10,"the disorder is characterized by sa?alya? j?vati [survives with foreign body in marma], p?k?t patita?alya? j?vati [survives even if foreign body is expulsed out after suppuration], n?ddhr?ta?alya? j?vati/anuddhr?ta?alya? j?vati [survives either the ?alya is removed or not], sady?mara?a? n?ddhr?ta?alya? [immediated death if foreign body is extracted], sa?aly? j?v?t p?k?t patita?aly? [a man can survive if foreign body remains lodged in this marma or if it is allowed to come out after suppuration]",injury to utk??pamarma
2016,2070,LD-3.11,"the disorder is characterized by sa?alya? j?vati [survives with foreign body in marma], p?k?t patita?alya? j?vati [survives even if foreign body is expulsed out after suppuration], n?ddhr?ta?alya? j?vati/anuddhr?ta?alya? j?vati [survives either the ?alya is removed or not], sady?mara?a? n?ddhr?ta?alya? [immediated death if foreign body is extracted], sa?aly? j?v?t p?k?t patita?aly? [a man can survive if foreign body remains lodged in this marma or if it is allowed to come out after suppuration]",injury to sthapanimarma
2017,2071,LD-3.12,the disorder is characterized by sady?mara?am [intantaneous death],injury to ?r??gamarma
2018,2072,LD-3.13,"the disorder is characterized by sady?mara?am [intantaneous death], bhaya? [fear], cittan??a?/man?n??a? [total disturbance of mind], mara?am [death], bhrama? [giddiness or dizziness]",injury to s?mantamarma
2019,2073,LD-3.14,the disorder is characterized by sady?mara?am [intantaneous death],injury to adhipatimarma
2020,2074,LD-4,"the disorder is characterized by ajasra? asr?k-sr?va? [profuse bleeding], m??sadh?vanavat raktasr?va? [bleeding resembling washings of flesh], p???utvam [pallor], indriy?jñ?nam [loss of senes], mara?am [death]",injury to m??samarma
2021,2075,LD-5,"the disorder is characterized by sur?ndrag?papratimaraktasr?va? [bleeding resembling shiny g?pa], prabh?taraktasr?va? [profuse bleeding], vividh?n v?tar?g?n [various diseases of v?ta origin]",injury to sir? marma
2022,2076,LD-6,"the disorder is characterized by kaubjyam [flexion deformity/hump backed/ bending of back], ?ar?r?vayav?vas?da? [weakness of the limbs of the body], kriy?sva?akti? [inability to move], adhika? ruj?/tumul? ruja? [severe pain], cir?t vra?ar?ha?am [delayed wound healing], ?y?ma? [stretching], ?k??paka? [convulsion], sta?bha? [rigidity/stiffness], y?nasth?n?san??akti? [unable to sit, travel], vaikalyam [defectiveness/ lameness], antaka? [death]",injury to sn?yu marma
2023,2077,LD-7,"the disorder is characterized by ??ph?tivr?ddhi? [excessive swelling], tumul? ruja? [severe pain], balak?aya? [loss of physical strength or weakness], parvabh?da? [breaking type of pain in small joints], parva??pha? [swelling in small joints], sandhikarm?parati? [loss of function of joint], ??kai? ?k?r?a iva [feels as covered with awn of barley/ spicules], r??h? ku?i? [development of contractures on healing], r??h? khañjat? [development of contractures on healing], c????k?aya? [loss of movements], ???a? [dryness/wasting/emaciation], parva??pha? [swelling in small joints]",injury to sandhimarma
2024,2078,LD-8,"the disorder is characterized by ni??din??u gh?r? ruj?? [tremendous pain day and night], sarv?su avasthasu na ??nti? [no relief in any position/ posture], tr???? [thirst], a?gas?da? [exhaustion or tirednes to body / inability to perform physical activities], ?vayathu? [swelling], ruk [pain], majj?nvitasr?va? [discharge mixed with majj?], acchasr?va? [clear discharge], vicchinnasr?va? [discharge having various colours]",injury to asthimarma
2025,2079,LD-9,"the disorder is characterized by sa?abdaraktasr?va? [bleeding with sound], ph?nayuktaraktasr?va? [frothy bleeding], vic?tanatvam [senseless/ unconciousness]",injury to dhaman? marma
2026,2080,LD-10,"the disorder is characterized by indriy?rth??vasampr?pti? [inability to perceive objects of senses], man? viparyaya? [loss of mental faculties], buddhiviparyaya? [loss of wisdom], vividh?st?vr? ruj? [various types of severe pains]",marmaviddha-fatal
2027,2081,LD-11,"the disorder is characterized by [], dh?tuk?aya? [diminution of dhatu/ emaciation], v?dan? [pain], mara?am [death]",marmaviddha-fatal over a period of time
2028,2082,LD-12,"the disorder is characterized by [], ?aly?p?y? hantyas?n [death if foreign body is removed], ?v?sa? [breathlessness/difficult breathing], k?sa? [cough]",marmaviddha-removal of the trauma causing agent leads to death
2029,2083,LD-13,the disorder is characterized by vikalatvam [defectiveness of body parts],marmaviddha leading to deformity
2030,2084,LD-14,-,burning sensation due to marmaviddha
2031,2085,LE,"the disorder is characterized by ?y?va/ dhy?ma? [blackish discolouration of the area], pi?ik?citam [area covered by papular eruptions], ??pha yutam [associated with swelling of the area], v?dan? yutam/ ruj?va?tam [associated with pain], muhurmuhu? ???ita sr?vi?am [intermittent bleeding from wound], budbudavat unnatam [associated with bubble like eruptions], mr?dum??sa? [softness of flesh]",foreign body
2032,2086,LE-1,"the disorder is characterized by vaivar?yama [discolouration], ?yata ??pha [elongated prominent swelling], d?ru?a ??pha? [hard swelling]",foreign body embedded in skin
2033,2087,LE-2,"the disorder is characterized by c??a [sucking type of pain], p?ka [inflammation/suppuration], ??ph?tivr?ddhi?/ ??ph?tivr?ddhi? [increase in swelling], ?alyam?rga anupasa?r?ha? [pathway of foreign body doesn’t get healed], p??an?sahi??ut? [unable to bear touch/ pressing]",foreign body embedded in muscle-inflammatory
2034,2088,LE-3,"the disorder is characterized by p?ka [inflammation/suppuration], c??a ??pha varjya lak?a?a [symptoms without c??a and ??pha], ??pha varjya m??sa pr?ptavata [symtoms of mamsagat v?ta except swelling], ?alyam?rga anupasa?r?ha? [pathway of foreign body doesn’t get healed], p??an?sahi??ut? [unable to bear touch/ pressing]",foreign body embedded inside the muscle-noninflammatory
2035,2089,LE-4,"the disorder is characterized by sir?dhm?na? [engorgement], sir???la? [pain in veins], sir???pha? [swelling]",foreign body embedded in vessels
2036,2090,LE-5,"the disorder is characterized by sa?rambha [redness/ congesion/ inflammation], sn?yuj?l?tk??pa?a? [on cutting of tendons, forceful flow of fluid], ugraruk [associated with severe pain]",foreign body embedded in ligaments
2037,2092,LE-7,"the disorder is characterized by svakarmagu?ah?ni? [loss of functions of joints], c????parama? [inability to do flexion, extension (movements)]",foreign body embedded in joints
2038,2093,LE-8,"the disorder is characterized by asthip?r?at? [feeling of fullness], vividha v?dan? pr?durbh?va?/ an?ka rup? ruj? [various types of pain], ??pha? [oedema]",foreign body embedded in bone
2039,2094,LE-9,"the disorder is characterized by saph?na? raktam?rayana [foamy/ frothy bleeding], sa?abd? nirgacchati anila? [expulsion of vayu with sound], a?gamarda?/ a?ga p??? [generalised bodyache], pip?s? [thirst], hr?ll?sa? [nausea]",foreign body embedded in arteries
2040,2095,LE-10,"the disorder is characterized by ?n?ha? [barborygmus with distention], ???pa? [gurgling sound of the intestines/ barborygmus], vra??nan? anna dar?ana/ vra?a mukh?ta ?h?ra dar?ana? [appearance of food at the wound opening], vra??nan? ?akr?ta dar?ana/ vra?a mukh?ta pur??a dar?ana? [apperance of feces at the wound opening], vra??nan? m?tra dar?ana/ vra?a mukh?ta m?tra dar?ana? [apperance of urine at the wound opening]",foreign body situated in k???ha
2041,2096,LE-11,"the disorder is characterized by asthip?r?at? [feeling of fullness], asthinist?da [pricking/ pierceing type of pain of the bone], balv?na sa?har?a? [excessive rubbing sensation]",foreign body entering bone cavity
2042,2097,LE-12,the disorder is characterized by marmaviddhavata c???at?/ marmaviddh?palak?a?ai? [],foreign body entering marma
2043,2098,LF,-,excised wound
2044,2099,LF-1 (SN9Y),-,Complications-incising an acute inflammatory swelling disorder (TM2) ?
2045,2100,LF-2,-,perineal raphe injury
2046,2101,LG,-,stabed sady?vra?a
2047,2102,LG-1,"the disorder is characterized by raktap?r?a k???ha? [k??ta gets filled with blood], jvara? [fever], d?ha? [burning sensation], m?tram?rg?t rakta? gacchati [urethral bleeding], guda m?rg?t rakta? gacchati [per rectal bleeding], ?sy?bhy?? rakta? gacchati [hematemesis/ hemoptysis], ghr???t rakta? gacchati [epistaxis], m?rcch? [syncope/attacks of swooning], ?v?sa [breathlessness/difficult breathing], tr?? [thirst], ?dhm?na [abdominal distension], abhaktacchanda [aversion to food], vi? sa?ga [fecal retention], m?trasa?ga [obstruction/retention in passage of urine], v?tasa?ga [retention of v?yu/flatus], sv?d?sr?va [loss of perspiration], ak?iraktat? [redness in the eyes], l?hagandhitvam ?syasya [metallic odour from the mouth], g?tra daurgandhya?/ g?tr? ca vigandhit? [foul smell from the body], hr?cch?l [pain in the precordium/cardiac region], p?r?va??la [pain in sides of chest/flanks], jvara? [fever]",visceral organ injury
2048,2103,LG-1.1,-,haemoperitonium
2049,2104,LG-1.2,"the disorder is characterized by rudhira? charday?t [vomits blood/ hemetemesis], ?dhm?na? atim?tra? [severe bloating], bhr??a d?ru?a ??la? [severe tremendous sharp pain/ colic]",small bowel bleeding
2050,2105,LG-1.3,"the disorder is characterized by gaurava [heaviness], gurutvam adha? [heaviness below the umbilicus], kh?bhy?? rakt?gama? [bleeding through orifices], ruj?/??la? [pain], ??tat? [coldness], ??tat? adh?n?bh?? [coldness in lower abdomen], gaurava [heaviness]",large bowel bleeding
2051,2106,LG-1.4,"the disorder is characterized by ??ta ucchv?sa [expiration, cold air], antarl?hitam [internal bleeding], ??ta p?da [cold legs], ??ta kara? [cold hands], ??ta ?nanam [cold face], rakt?k?am [reddish coloured eyes]",irremediable visceral injury
2052,2107,LH,the disorder is characterized by uttu??ita? nirgata? v? (yad?gam ??ay?t bin? ) [foreign body in such cases may remain either protruding out or may have gone out through it],penetrating injury
2053,2108,LH-1,-,penetrating injury to vessels
2054,2109,LH-2,"the disorder is characterized by kaubjyam [flexion deformity/hump backed/ bending of back], kriy?sva?akti? [inability in movements], cir?dvra?? r?ha?am [wound takes a long time to heal], tumula-ruja? [severe pain], ?ar?r?vayav?vas?da? [weakness of the limbs of the body]",penetrating injury to ligaments
2055,2110,LH-3,-,penetrating injury to joints
2056,2111,LH-4,-,injury to channels
2057,2112,LH-4.1,"the disorder is characterized by vinaman [flexion/ bending of body], m?ha? [semiconsciousness or stupefaction], bhrama?a? [vertigo], v?pana? [shivering/tremors], mara?a? [death], ?kr??an [screaming]",injury to pr??avahasr?tas
2058,2113,LH-4.2,"the disorder is characterized by ?dhm?na? [abdominal distension], annadv??a? [aversion to food], chardi? [vomiting], andhat? [blindness], ??la [pain], pip?s? [thirst], mara?am [death]",injury to food channels
2059,2114,LH-4.3,-,injury to water channels
2060,2115,LH-4.4,"the disorder is characterized by ???a? [dryness/wasting/emaciation], (pr??avahaviddhavata tatli?gam) [clinical features as in injury to pr??av?ha sr?tas], vinaman [flexion/ bending of body], m?ha? [semiconsciousness or stupefaction], bhrama?a? [vertigo], v?pana? [shivering/tremors], ?kr??an [screaming], mara?a? [death]",injury to rasavahasr?tas
2061,2116,LH-4.5,"the disorder is characterized by ?y?v??gat? [black discoloration of the body], jvara? [fever], d?ha? [burning sensation], p???ut? [pallor], ???it?gamanam [bleeding/haemorrhage], raktan?trat? [redness of eyes]",injury to raktavahasr?t?s
2062,2117,LH-4.6,"the disorder is characterized by m??sa ???a [muscular wasting], ?vayathu? [swelling], sir?granthi [tortousity of blood vessels], mara?a? [death]",disorders of ma?savahasr?tas
2063,2118,LH-4.7,"the disorder is characterized by sv?d?gamanam [perspiration], snidh??gat? [oiliness of the body], t?lu???a [dryness of palate], sth?la??phat? [non pitting oedema], pip?s? [thirst]",injury to m?d?vahasr?tas
2064,2119,LH-4.8,-,injury to asthivahasr?tas
2065,2120,LH-4.9,"the disorder is characterized by kl?bat? [inability to perform sexual act/ impotence], cir?t pras?ka [delayed ejaculation], rakta ?ukrat? [blood tinged semen]",injury to ?ukravahasr?tas
2066,2121,LH-4.10,"the disorder is characterized by vandhyatvam [sterility], maithun?sahi??utvam [dyspaerunia], ?rtav n??a [absence of menstruation]",injury to ?rtavavahasr?t?s
2067,2122,LH-4.11,"the disorder is characterized by m?tra nir?dha? [retention of urine], ?naddh basti [Distended basti (bladder)], stabdh m??hrat? [stiffness of penis]",injury to m?travahasr?tas
2068,2123,LH-4.12,"the disorder is characterized by ?n?ha? [barborygmus with distention], durgandhat? [badsmell], grathita ?ntrat? [nodular]",injury to pur??avahasr?tas
2069,2124,L-1,-,injury to whole body
2070,2125,L-2,-,haemorrhage
2071,2126,L-3,-,injury to ureters
2072,2127,L-4,"the disorder is characterized by many?stambha? [torticollis/stiffness of neck], ardita [facial paralysis], cak?urvibhrama [agitation of eyes], m?ha? [confusion/delirium], udv???ana [cramps], c????n??a [loss of motor activities], k?sa? [cough], ?v?sa? [breathlessness/difficult breathing], hanugraha? [lock jaw/catching sensation over jaw], m?ka [mute/ inability to speak], gadgadatva [stuttering/ stammmering], ak?inim?lan [closure of the eye lids], ga??aspandana [twitching of cheek muscles], jr?mbha?am [yawning], l?l?sr?va? [excessive salivation], svarah?ni? [aphasia], vadanajihmatvam [twisting of the face]",injury to head
2073,2128,L-5,"the disorder is characterized by basti ku??ala? [spirallising spasm in the basti/urinary bladder], ud?varta [upward movement of v?yu in the abdomen], gulma? [palpable glandular enlargment in abdomen/ abdominal lump], anil???h?l? [hard tumour caused by v?yu], upasthambha [spasticity of the bladder], v?ta nigraha? [stasis of flatus], m?tra nigraha? [stasis of urine], varc? nigraha? [stasis of faeces], va?k??a ??la? [pain in groin], m?hana ??la? [penile pain], basti ??la? [colicky pain in the basti/urinary bladder], n?bhigraha? [catching sensation in umbilical region], kuk?igraha? [catching sensation in lower abdominal region], guda graha? [catching sensation in anus], ?r??i graha? [catching sensation in the pelvis]",injury to urinary bladder
2074,2130,L-6,-,injury to seminal passages
2075,2131,L-7,-,frostbite
2076,2132,M,-,paediatric medical conditions
2077,2133,MA (SN1Y),-,Disorders due to improper cutting of umbilical cord. (TM2) ?
2078,2134,MA-1,-,n???kalpan?vyapat-Elongated umbilicus
2079,2135,MA-2,-,n???kalpan?vyapat-widened umbilicus
2080,2136,MA-3,-,n???kalpan?vyapat –circular umbilicus
2081,2137,MA-4,-,n???kalpan?vyapat –depreesed umbilicus
2082,2138,MA-5,-,n???kalpan?vyapat-enlarging umbilicus
2083,2139,MA-6,-,omphalitis
2084,2140,MB,-,pediatric diseases due to possession
