Sr No.,NAMC_ID,NAMC_CODE,NAMC_TERM,Tamil_term,Name English,Long_definition,Reference
1181,1181,SAG1.2,Mēl Toṭai Maiya Varmam,மேல் தொடை மைய வர்மம்,Injury to Mael thodai maiya varmam,"Injury to this varmam is characterised by pain in upper part of thigh, swelling in thighs and lower limbs, paralysis of lower limbs. If fracture occurs rest is mandate for 90 days","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.107"
1182,1182,SAG1.3,Kīẕ Toṭai Maiya Varmam,கீழ் தொடை மைய வர்மம்,Injury to Keel thodai maiya varmam,"Injury to this varmam is characterised by pain in lower part of thigh, swelling in legs, if injury results from weapons or some other cause it leads to paralysis and swelling of the body. If fracture occurs, rest is mandate for 90 days.","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.108"
1183,1183,SAH,Muẕaṅkālil Kāṇum Varma Aṭikaḷ,முழங்காலில் காணும் வர்ம அடிகள்,,,
1184,1184,SAH1.1,Muṭṭukkaṇṇu Varmam,முட்டுக்கண்ணு வர்மம்,Injury to Muttu kannu varmam,"Injury to this varmam is characterised by difficulty to move the legs, pain and swelling of knee joints and crippling of joints","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.111"
1185,1185,SAH1.2,Muṭṭu Ciraṭṭai Varmam,முட்டு சிரட்டை வர்மம்,Injury to Muttu chirattai varmam,"Injury to this varmam is characterised by tiredness of legs, hemiplegia, dislocation of patella, if fracture occurs it results in crippling of knee joints and is incurable.","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.112"
1186,1186,SAH1.3,Muẕaṅkāl Muṭṭu Pataippu Varmam,முழங்கால் முட்டு பதைப்பு வர்மம்,Injury to Muzhankaal mootu pathaippu varmam,"Injury to this varmam is characterised by weakness of legs, pain and swelling of legs, if fracture occurs it results in delerium and syncope.","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.113"
1187,1187,SAH1.4,Muẕaṅkāl Muṭṭu Moẕi Poruttu Varmam,முழங்கால் முட்டு மொழி பொருத்து வர்மம்,Injury to Muzhankaal mootu mozhi poruthu varmam,"Injury to this varmam is characterised by difficulty to flex the knee, difficulty to walk, loss of sensation of legs and swelling of lower limb, fatigue foot, injury to nerves results in crippling of legs, delerium, shortening of legs and dislocation of k","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.114"
1188,1188,SAI,Kālil Kāṇum Varma Aṭikaḷ,காலில் காணும் வர்ம அடிகள்,,,
1189,1189,SAI1.1,Kutiraimuka Varmam,குதிரைமுக வர்மம்,Injury to Kuthirai muga varmam,"Injury to this varmam is characterised by by sweating of whole body, ain increases and spreads like toxin, fatigue lower limbs, swelling, thirst, chillness of body, anuria. If fracture occurs it is incurable and results in delerium and death.","Anonymous.2010.Varma nool Thoguthi (Varma laada suthiram). 1st edition,Kanyakumari: ATSVS siddha medical college and hospital.pg 327"
1190,1190,SAI1.2,Kutirai Nuṉi Nākku Varmam,குதிரை நுனி நாக்கு வர்மம்,Injury to Kuthirai nuni naakku varmam,"Injury to this varmam is characterised by pain in testis, if injury occurs to pregnant women it results in abortion. If fracture occurs leads to death.","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.118"
1191,1191,SAI1.3,Vayiṟūti Varmam,வயிறூதி வர்மம்,Injury to Vayuroothi varmam,"Injury to this varmam is characterised by abdominal distension, if fracture occurs rest is mandatory for 90 days.","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.119"
1192,1192,SAI1.4,Tumpikkāla Varmam,தும்பிக்கால வர்மம்,Injury to Thumbi kaala varmam,"Injury to this varmam is characterised by pain in lower limbs which spreads like toxins, sweating, fatigue and delerium. If fracture occurs 90 days rest is needed.","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.120"
1193,1193,SAI1.5,Kutirai Aṭi Nākku Varmam,குதிரை அடி நாக்கு வர்மம்,Injury to Kuthirai adi naakku varmam,Injury to this varmam is characterised by physical disability. If fracture occurs 90 days rest is needed.,"Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.121"
1194,1194,SAI1.6,Kaṇapati Muka Varmam,கணபதி முக வர்மம்,Injury to Ganapathy muga varmam,"Injury to this varmam is characterised by crippling, pain in lower limbs while walking. If fracture occurs 90 days rest is needed. If injury results in wounds, delayed healing is present.","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.122"
1195,1195,SAJ,Pātattil Kāṇum Varma Aṭikaḷ,பாதத்தில் காணும் வர்ம அடிகள்,,,
1196,1196,SAJ1.1,Karaṇṭai Kaṇṇu Varmam,கரண்டை கண்ணு வர்மம்,Injury to Karandai kannu varmam,"Injury to this varmam is characterised by pain and swelling in calf muscles, fever, pricking pain, anuria, swelling of legs, vertigo and stiffness of lower limbs.","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.125"
1197,1197,SAJ1.2,Pāta Cakkara Varmam,பாத சக்கர வர்மம்,Injury to Patha chakkara varmam,"Injury to this varmam is characterised by pain and swelling in foot, diarrhoea, syncope, cold eyes, cough, phlegm in chest, fever, fatigue, tremors of foot and if fracture occurs it results in death.","Anonymous.2010.Varma nool Thoguthi (Varma suthiram). 1st edition,Kanyakumari: ATSVS siddha medical college and hospital.pg 368."
1198,1198,SAJ1.3,Karaṇṭai Moẕi Poruttu Varmam,கரண்டை மொழி பொருத்து வர்மம்,Injury to Karandai mozhi poruthu varmam,"Injury to this varmam is characterised by fatigue lower limbs, swelling, laxity of ligament in ankle joints, emaciation of body, difficulty to walk, delerium, syncope and physical disability.","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.127"
1199,1199,SAJ1.4,Kutikāl Varmam,குதிகால் வர்மம்,Injury to Kuthikaal varmam,"Injury to this varmam is characterised by twisting of nerves, loss of sensation of areas wh","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.128"
1200,1200,SAJ1.5,Narampu Naṭukku Muṭiccu Varmam,நரம்பு நடுக்கு முடிச்சு வர்மம்,Injury to Narambu nadukku mudichu varmam,"Injury to this varmam is characterised by weakness, stiffness of lower limb, vertigo, pain in lower limb, fever with chills and rigor, tremors, delerium, syncope and death.","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.129"
1201,1201,SAJ1.6,Kālnerukku Varmam,கால்நெருக்கு வர்மம்,Injury to Kaal nerukku varmam,"Injury to this varmam is characterised by difficulty to walk, swelling of legs, inflammation of sciatic nerve and swelling of lower limb.","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.130"
1202,1202,SAJ1.7,Peru Viral Mañcaḷ Varmam,பெரு விரல் மஞ்சள் வர்மம்,Injury to Peru viral manjal varmam,"Injury to this varmam is characterised by swelling of lower limbs, numbness in lower limbs, vertigo and syncope.","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.131"
1203,1203,SAK,Puyattil Kāṇum Varma Aṭikaḷ,புயத்தில் காணும் வர்ம அடிகள்,,,
1204,1204,SAK1.1,Puya Naṭukku Varmam,புய நடுக்கு வர்மம்,Injury to Puya nadukku varmam,"Injury to this varmam is characterised by pain and swelling of upper limbs, numbness and difficulty in using the upper limbs, spasmodic pain, sprain in middle finger, wasting to muscles day by day, fatigue arms, if injury to nerve occurs, flexing of finge","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.134"
1205,1205,SAK1.2,Puya Mēl Naṭukku Varmam,புய மேல் நடுக்கு வர்மம்,Injury to Puya mael nadukku varmam,Injury to this varmam is characterised by pain in shoulders and upper limbs. If fracture occurs it takes 41 days to heal.,"Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.135"
1206,1206,SAK1.3,Puya Kīẕ Naṭukku Varmam,புய கீழ் நடுக்கு வர்மம்,Injury to Puya keel nadukku varmam,Injury to this varmam is characterised by pain in distal arm. If fracture occurs it takes 41 days to heal.,"Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.136"
1207,1207,SAL,Muẕaṅkaiyil Kāṇum Varma Aṭikaḷ,முழங்கையில் காணும் வர்ம அடிகள்,,,
1208,1208,SAL1.1,Muẕaṅkai Naṭukku Varmam,முழங்கை நடுக்கு வர்மம்,Injury to Muzhangai nadukku varmam,"Injury to this varmam is characterised by rigiditty of body, fits, fever with chills and rigor, delerium, syncope, heat in forehead, pain in elbow, cough, wheeze. If fracture occurs swelling in elbow occurs. Death results in 12 days.","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.139"
1209,1209,SAL1.2,Muẕaṅkai Mēl Naṭukku Varmam,முழங்கை மேல் நடுக்கு வர்மம்,Injury to Muzhangai mael nadukku varmam,"Injury to this varmam is characterised by stiffness of thumb, swelling, expulsion of semen, tremors, fever with chills. If fracture occurs it remains incurable upto 288 minutes. It takes 41 days for complete cure.","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.140"
1210,1210,SAL1.3,Muẕaṅkai Kīẕ Naṭukku Varmam,முழங்கை கீழ் நடுக்கு வர்மம்,Injury to Muzhangai keel nadukku varmam,"Injury to this varmam is characterised by pain in elbow, swelling, fatigue and delerium.","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.141"
1211,1211,SAL1.4,Nāṭi Cūttira Varmam,நாடி சூத்திர வர்மம்,Injury to Naadi soothira varmam,"Injury to this varmam is characterised by vertigo, sweating, syncope and delerium.","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.142"
1212,1212,SAM,Muẕaṅkai Muṭṭil Kāṇum Varma Aṭikaḷ,முழங்கை முட்டில் காணும் வர்ம அடிகள்,,,
1213,1213,SAM1.1,Muẕaṅkai Muṭṭu Pataippu Varmam,முழங்கை முட்டு பதைப்பு வர்மம்,Injury to Muzhangai mutu pathaippu varmam,"Injury to this varmam is characterised by pain in medial aspect of arm, forearm, elbow swelling in forearm and paralysis of little fingers and ring finger.","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.144"
1214,1214,SAM1.2,Muẕaṅkai Muṭṭu Puṟatārai Vicai Narampu Varmam,முழங்கை முட்டு புறதாரை விசை நரம்பு வர்மம்,Injury to Muzhangai mutu purathaarai visai narambu varmam,Injury to this varmam is characterised by pain and swelling in elbow and difficulty to extend the forearm.,"Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.145"
1215,1215,SAM1.3,Muẕaṅkai Muṭṭu Moẕipporuttu Varmam,முழங்கை முட்டு மொழிப்பொருத்து வர்மம்,Injury to Muzhangai mutu mozhi poruthu varmam,"Injury to this varmam is characterised by swelling of arms, fatigue forearm and pricking pain in elbow.","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.146"
1216,1216,SAM1.4,Muẕaṅkai Muṭṭu Kai Maṇṭai Varmam,முழங்கை முட்டு கை மண்டை வர்மம்,Injury to Muzhangai mutu kai mandai varmam,"Injury to this varmam is characterised by tingling sensation in hands, numbness, pain and swelling, spasm of upper limbs, elbow dislocation, diffiuclty to flex the elow and anemia.","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.147"
1217,1217,SAN,Kaiyil Kāṇum Varma Aṭikaḷ,கையில் காணும் வர்ம அடிகள்,,,
1218,1218,SAN1.1,Kai Peruviral Moẕi Poruttu Varmam,கை பெருவிரல் மொழி பொருத்து வர்மம்,Injury to Kai peru viral mozhi poruthu varmam,"Injury to this varmam is characterised by pain in thumb, swelling of metacarpo phalangeal joints along the lateral aspect and dislocation.","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.150"
1219,1219,SAN1.2,Kai Peruviral Patakkaḷai Varmam,கை பெருவிரல் பதக்களை வர்மம்,Injury to Kai peru viral pathakkalai varmam,"Injury to this varmam is characterised by pain in hand and thumb, swelling and dislocation of meta carpo phalangeal joint of thumb.","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.151"
1220,1220,SAN1.3,Kai Peruviral Aka Puṟatārai Varmam,கை பெருவிரல் அக புறதாரை வர்மம்,Injury to Kai peru viral aga puratharai varmam,"Injury to this varmam is characterised by palms, swelling of joints of thumb and dislocation of metacarpo phalangeal joints.","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.152"
1221,1221,SAN1.4,Corṇa Veṟṟilai Varmam,சொர்ண வெற்றிலை வர்மம்,Injury to Sorna vettrilai varmam,"Injury to this varmam is characterised by opening of tightened fist, pain and swelling in upper limbs, diminished action of fingers, swelling of extensor aspect of upper limb","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.153"
1222,1222,SAN1.5,Kai Nerukku Varmam,கை நெருக்கு வர்மம்,Injury to Kai nerukku varmam,Injury to this varmam is characterised by diminusion of little and middle fingers and swelling of hands.,"Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.154"
1223,1223,SAN1.6,Kai Kavaḷi Varmam,கை கவளி வர்மம்,Injury to Kai kavali varmam,"Injury to this varmam is characterised by spreading of pain from hands to head like toxin, swelling numbness, mild fever on 3rd day of injury, on later stage it results in absces, cracks and ulcers in palms. If fracture occurs it leads to delerium and dea","Anonymous.2010.Varma nool Thoguthi (Varma laada suthiram). 1st edition,Kanyakumari: ATSVS siddha medical college and hospital.pg 323."
1224,1224,SAO,Maṇikkaṭṭil Kāṇum Varma Aṭikaḷ,மணிக்கட்டில் காணும் வர்ம அடிகள்,,,
1225,1225,SAO1.1,Kōẕikkaẕuttu Varmam,கோழிக்கழுத்து வர்மம்,Injury to Kozhi kazhuththu varmam,"Injury to this varmam is characterised by swelling of wrist joint, pain and swelling in hands, dislocation of wrist and fracture of wrist","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.157"
1226,1226,SAO1.2,Kōẕikkaẕuttu Kaṇṇu Varmam,கோழிக்கழுத்து கண்ணு வர்மம்,Injury to Kozhi kazhuththu kannu varmam,"Injury to this varmam is characterised by pain in wrist joint, fatigue of upper limbs, dislocation of wrist and difficulty to flex the fingers.","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.158"
1227,1227,SAO1.3,Kōẕikkaẕuttu Aka Puṟatārai Varmam,கோழிக்கழுத்து அக புறதாரை வர்மம்,Injury to Kozhi kazhuththu aga puratharai varmam,"Injury to this varmam is characterised by palpitation, sprain in wrist joint, stiffness of hand, swelling of joint with fluid accumulation, weakness, fatigue of upper limb, chillness of body, sweating, delerium, increased phlegm, dislocation of wrist, imm","Anonymous.2015.Varma maruthuvam. Revised 2nd edition,Kanyakumari:Centre for Varmam medicine and research.Pg.159"
1228,1228,SB,Oṭivu Muṟivu,ஒடிவு முறிவு,Fractures,,
1229,1229,SBA,Kai Kāyaṅkaḷ,கை காயங்கள்,Injuries of the Hand,,
1230,1230,SBA1,Tōḷ Pakuti Kāyaṅkaḷ,தோள் பகுதி காயங்கள்,Shoulder injuries,,"Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 72"
1231,1231,SBA1.1,Kārai Elumpu Muṟivu,காரை எலும்பு முறிவு,Fracture of clavicle,"A break in the clavicle is caused by direct injury on the bone or by fall on out-stretched hand characterised by pain and swelling at the fracture site, difficulty in raising the affected side arm and holding the affected arm in flexed elbow position","Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 73"
1232,1232,SBA1.2,Cippi Moẕi Kārai Poruttu Kāyaṅkaḷ,சிப்பி மொழி காரை பொருத்து காயங்கள்,Injuries to acromio-clavicular joint,"A subluxation or dislocation of acromio-clavicular joint is caused by injury to outer prominence or by fall on out-stretched hand, characterised by pain and swelling at acromio-clavicular joint and patient will hold the affected arm in flexed elbow positi","Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 81"
1233,1233,SBA1.3,Neñcu - Kārai Poruttu Kāyaṅkaḷ,நெஞ்சு – காரை பொருத்து காயங்கள்,Injuries to sterno clavicular joint,"A subluxation or dislocation of sterno-clavicular joint is caused by direct injury or heavy force applied from shoulder when lying in lateral position, characterised by pain and swelling at the fracture site, protrusion of clavicle at fracture site and fl","Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 84"
1234,1234,SBA1.4,Cippi Elumpu Muṟivu,சிப்பி எலும்பு முறிவு,Injuries and fractures to Scapula,"A break in scapula is caused by direct injury on bone or by fall on outstretched hand, characterised pain and swelling at the fracture site, patient will hold the affected side hand close to chest in flexed elbow position and pain while lifting the affect","Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 87"
1235,1235,SBA1.5,Tōḷporuttu Vilakal,தோள்பொருத்து விலகல்,Dislocation of scapula,Dislocation of scapula,"Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 93"
1236,1236,SBA1.5.1,Tōḷporuttu Muṉ Vilakal,தோள்பொருத்து முன் விலகல்,Anterior dislocation of shoulder joint,": A dislocation of shoulder joint in anterior side is caused by falling with abducted, external rotated, out-stretched hand, characterised by severe pain and inability to use affected hand, patient will hold the hand in abduction and external rotation pos","Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 94"
1237,1237,SBA1.5.2,Aṭikkaṭi Nikaẕum Muṉpakka Tōḷporuttu Muṉ Vilakal,அடிக்கடி நிகழும் முன்பக்க தோள்பொருத்து முன் விலகல்,Recurrent anterior dislocation of shoulder joint,It is characterised by recurrent dislocation of shoulder joint in anterior side caused by lack of immobilisation and weakness of shoulder muscles.,"Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no96"
1238,1238,SBA1.5.3,Tōḷporuttu Piṉ Vilakal,தோள்பொருத்து பின் விலகல்,Posterior dislocation of shoulder joint,"The dislocation of shoulder joint on posterior side caused by falling in flexed and adduction of hand. It is characterised by severe pain, patient will hold the affected hand in adduction position wit other hand, flattening of anterior side of shoulder, p","Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 98"
1239,1239,SBA1.5.4,Tōḷporuttu Kīẕ Vilakal,தோள்பொருத்து கீழ் விலகல்,Inferior dislocation of shoulder joint,The dislocation of shoulder joint on inferior side caused by hyper abduction and extension of shoulder and characterised by protrusion of humerus head below glenoid cavity.,"Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 101"
1240,1240,SBA1.6,Puya Elumpiṉ Mēlmuṉai Muṟivukaḷ,புய எலும்பின் மேல்முனை முறிவுகள்,Proximal humeral fracture,"A break in proximal part of humerus caused by falling in out-stretched hand, injury to lateral side of humerus. It is characterised by pain and swelling in affected site, restricted shoulder movements","Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 105"
1241,1241,SBA2,Puya Kāyaṅkaḷ,புய காயங்கள்,Injuries of the arm,,
1242,1242,SBA2.1,Puya Elumpiṉ Taṇṭup Pakuti Muṟivukaḷ,புய எலும்பின் தண்டுப் பகுதி முறிவுகள்,Fracture of the shaft of the humerus,"A break in the shaft of the Humreus caused by falling in out-stretched hand and direct injury. It is characterised by pain and swelling at fracture site, abnormal mobility in upper arm, if fracture at spiral groove can cause wrist drop.","Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 112"
1243,1243,SBA3,Muẕaṅkai Mūṭṭup Pakuti Kāyaṅkaḷ,முழங்கை மூட்டுப் பகுதி காயங்கள்,Injuries around the elbow,,
1244,1244,SBA3.1,Puya Elumpiṉ Kīẕ Muṉai Muṟivukaḷ,புய எலும்பின் கீழ் முனை முறிவுகள்,Fractures of distal end of humerus,"A break in the distal end of humerus caused by falling on outstretched hand with hyerextension. It is characterised by pain and swelling in elbow, tenderness, restricted movements, shortening of upper arm, but no change in forearm length, maintaining tria","Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 126"
1245,1245,SBA3.2,Muẕaṅkaimūṭṭu Vilakal,முழங்கைமூட்டு விலகல்,Disclocation of the elbow joint,,"Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 140"
1246,1246,SBA3.2.1,Eḷiya Muẕaṅkai Muṭṭu Vilakal,எளிய முழங்கை முட்டு விலகல்,simple elbow dislocation,"A dislocation of elbow on anterior or posterior lateral, postero-medial, medial, posterior, lateral or divergent side caused by falling on flexed elbow position.","Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 141"
1247,1247,SBA3.2.2,Muẕaṅkai Muṭṭu Muṟintu Vilakal,முழங்கை முட்டு முறிந்து விலகல்,Elbow fracture – dislocation,"A dislocation to elbow along with fragment fracture of associated bone in elbow. It is characterised by pain and swelling in affected site, altered relationship of bony triangle","Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 144"
1248,1248,SBA3.3,Iẕuppaṭṭa Muẕaṅkaimūṭṭu,இழுப்பட்ட முழங்கைமூட்டு,Pulled elbow,"A dislocation of radial head caused by pulling of elbow. It is characterised by pain and swelling in affected site, difficult to lift the hand, tenderness over radial side of elbow","Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 151"
1249,1249,SBA3.4,Irattiṉi Elumpiṉ Mēl - Muṉai Muṟivukaḷ,இரத்தினி எலும்பின் மேல் - முனை முறிவுகள்,Fracture of proximal end of ulna,"A break in olecranon process caused by direct injury and severe contractions of triceps. It is characterised by pain and swelling in affected site, tenderness, crepitus and difficult in extension of elbow.","Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 152"
1250,1250,SBA3.5,Ārai Elumpiṉ Mēl Muṉai Muṟivukaḷ,ஆரை எலும்பின் மேல் முனை முறிவுகள்,Fractures of the proximal end of the radius,A break in the head of the radius or neck of the radius caused by direct injury and falling on out-stretched hand. It is characterised by pain and swelling in elbow,"Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 157"
1251,1251,SBA4,Muẕaṅkai Kāyaṅkaḷ,முழங்கை காயங்கள்,Injuries of the forearm,,
1252,1252,SBA4.1,Ārai Maṟṟum Irattiṉi - Iru Elumputtaṇṭu Muṟivukaḷ,ஆரை மற்றும் இரத்தினி - இரு எலும்புத்தண்டு முறிவுகள்,Fracture of shaft of forearm,"A break in shaft of both ulna and radius caused by falling on out strectched hand, direct injury characterised by pain, swelling of affected site, restricted movements of elbow.","Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 165"
1253,1253,SBA4.2,Ārai Elumputtaṇṭu Muṟivu,ஆரை எலும்புத்தண்டு முறிவு,Fracture of the radial shaft,A break in shaft of radius,"Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 167"
1254,1254,SBA4.3,Irattiṉi Elumputtaṇṭu Muṟivu,இரத்தினி எலும்புத்தண்டு முறிவு,Fracture of shaft of ulna,A break in the shaft of ulna,"Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 170"
1255,1255,SBA4.4,Kōẕikkaẕuttu Muṟivu,கோழிக்கழுத்து முறிவு,Colles fracture,"A break in lower end of radius bone caused by falling on outstretched hand with dorsiflexion characterised by pain and swelling at affected site, deformity of wrist.","Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 174"
1256,1256,SBA5,Maṇikkaṭṭu Kāyaṅkaḷ,மணிக்கட்டு காயங்கள்,Injuries of the wrist,,
1257,1257,SBA5.1,Paṭaku Elumpu Muṟivu,படகு எலும்பு முறிவு,Scaphoid fracture:,A break in the Scaphoid bone,"Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 197"
1258,1258,SBA5.2,Piṟai Elumpu Muṟivu,பிறை எலும்பு முறிவு,Lunate fracture:,A break in the lunate bone,"Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 199"
1259,1259,SBA5.3,Mukkōṇa Elumpu Muṟivu,முக்கோண எலும்பு முறிவு,Triquetral fracture,A break in the triquetral bone,"Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 199"
1260,1260,SBA5.4,Paṭṭāṇi Elumpu Muṟivu,பட்டாணி எலும்பு முறிவு,Pisiform fracture,A break in the pisiform bone,"Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 202"
1261,1261,SBA5.5,Kokki Elumpu Muṟivu,கொக்கி எலும்பு முறிவு,Hamate fracture,A break in the hamate bone,"Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 203"
1262,1262,SBA5.6,Uruḷ Talai Elumpu Muṟivu,உருள் தலை எலும்பு முறிவு,Capitate fracture,A break in the capitate bone,"Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 204"
1263,1263,SBA5.7,Nāṟcatura Elumpu Muṟivu,நாற்சதுர எலும்பு முறிவு,Trapezoid fracture,A break in the trapezoid bone,"Kannan Rajaram, 2010, 1st Edition,Varmam Odivu Murivu Maruthuvam, ATSVS Siddha Medical College, Pg no 204"
