Sr No.,NUMC_ID,NUMC_CODE,Arabic_term,NAMC_TERM,Name English,Long_definition
1070,1069,L-8,عرق النسا,‘Irq al-Nasā,Sciatica,A type of pain which originates from the hip joints and runs along with the sciatic nerve. Intensity of pain increases with the quantity of matter.This pain causes wasting of the muscles of legs due to disuse.
1071,1070,L-9,تحجر وصلابة المفاصل,Taḥajjur wa Ṣalāba al-Mafāṣil,Ankylosing arthritis,The ossification of joints and reduced joint spaces leading to locking of the joints.
1072,1071,L-10,حدبہ/ حدبة الموخر,Ḥadaba/ Ḥadaba al-Mu’akhkhar,Kyphosis,A deformity in which there is backward bending of the vertebral column.
1073,1072,L-11,تقصع/ حدبة المقدم,Taqaṣṣu‘/Ḥadaba al-Muqaddam,Lordosis,Forward bending of chest.
1074,1073,L-12,التواء,Iltiwā’,Scoliosis,Dislocation of vertebral column at one side.
1075,1074,L-13,رياح الافرسة,Riyāḥ al-Afrisa,Pott's disease/Koch's spine,"Displacement of vertebral column commonly seen in tubercular patients. In this a chronic ulcer damages the vertebral column up to the gangrenous stage. Due to this destruction, there is displacement of vertebral column."
1076,1075,L-14,وهن العظام/ تخلخل العظام/ تخثر العظام,Wahn al-‘Iẓām/ Takhalkhul al-‘Iẓām/ Takhaththur al-‘Iẓām,Osteoporosis,It means weakness of bones in old age or pain of bones after trauma and injury. Bones are more prone to fractures in this condition.
1077,1076,L-15,كسر,Kasr,Fracture,Discontinuity/breaking of bones.
1078,1077,L-15.1,كسر بسيط/ كسر ساذج,Kasr Basīṭ/ Kasr Sādhij,Simple facture,"In this condition, only the bone is broken and there is no discontinuity of skin and mucous membrane."
1079,1078,L-15.2,كسر مركب/ كسر مكشوف,Kasr Murakkab/ Kasr Makshūf,Compound fracture,Breakage of bone associated with skin and mucous membrane. There is laceration of skin by the fragments of broken bone.
1080,1079,L-15.3,كسر مضاعف/ كسر مختلط,Kasr Muḍā‘af/ Kasr Mukhtaliṭ,Complicated fracture,Breakage or discontinuity of bone along with the involvement of surrounding organs either artery or vein. It is either due to trauma from outside or puncture by the fragments of broken bones.
1081,1080,L-15.4,كسر كامل,Kasr Kāmil,Complete fracture,Complete breakage or discontinuity of the bone.
1082,1081,L-15.5,كسر غير كامل/ كسرجزئي كامل,Kasr Ghayr Kāmil/ Kasr Juz’ī Kāmil,Incomplete fracture,Incomplete breaking or discontinuity of the bone.
1083,1082,L-15.6,كسر صدعى,Kasr Ṣad‘ī,Longitudinal fracture,"The fracture of bone longitudinally. It occurs mostly in flat bones e.g. skull, scapula, etc. It is usually too small to trace."
1084,1083,L-15.7,كسر خروبي,Kasr Kharrūbī,Green stick fracture,An incomplete type of fracture which occurs mostly in children or ribs of older people. It resembles the breaking of fresh green branch of tree which when bended gets partially broken with some of its fibres remaining intact.
1085,1084,L-15.8,كسر مفتت,Kasr Mufattat,Comminuted fracture,Crushing of a single bone into many pieces.
1086,1085,L-15.9,كسر شطوى,Kasr Shaṭwī,Avulsion fracture,Breaking of bone with injury by some sharp objects and exposure of a piece of bone outside.
1087,1086,L-15.10,كسر ثاقب,Kasr Thāqib,Perforating fracture,A perforating type of breakage of bone.
1088,1087,L-15.11,كسر مستطيل/ كسر مشطب,Kasr Mustaṭīl/ Kasr Mushaṭṭab,Longitudinal fracture,"In this type of fracture, breaking occurs longitudinally or in the length of bone."
1089,1088,L-15.12,كسر مستعرض/ كسر متعدد,Kasr Musta‘raḍ/ Kasr Muta‘addid,Transverse fracture,"In this type of fracture, breaking of bone occurs transversally."
1090,1089,L-15.13,كسر مؤرب,Kasr Mu’arrab,Oblique fracture,In this type of fracture breaking of bone occurs obliquely.
1091,1090,L-15.14,كسر لولبي/ كسر حلزوني,Kasr Lawlabī/ Kasr Ḥalazūnī,Spiral fracture,"In this type of fracture, breaking of bone occurs in twisted manner or spiral manner."
1092,1091,L-15.15,كسر مدغم/ كسر منغرز,Kasr Mudgham/ Kasr Munghariz,Impacted fracture,A type of fracture in which broken long bones penetrate into the soft tissue.
1093,1092,L-15.16,كسر رحمى,Kasr Raḥimī,Intrauterine fracture,The fracture of bones of foetus inside the uterus due to the trauma to the abdomen of expecting women.
1094,1093,L-15.17,كسر خلقي,Kasr Khilqī,congenital fracture,Fracture of the bones of a new born due to bad obstetric procedure.
1095,1094,L-15.18,كسر شعري,Kasr Sha‘rī,Hairline fracture,"In this type, there is a thinline fracture of bones."
1096,1095,L-15.19,كسر ذاتي,Kasr Dhātī,Pathological fracture,A fracture that occurs in the bones due to some disease.
1097,1096,L-15.20,كسر مفصلي,Kasr Mafṣilī,Epiphyseal fracture,Fracture of the edges of bones.
1098,1097,L-15.21,كسر الانف,Kasr al-Anf,nasal bone fracture,Fracture of nasal bone.
1099,1098,L-15.22,كسر فجلي/ كسر قصبي/ كسر قثوى,Kasr Fujlī/Kasr Qaṣabī/ Kasr Qathwī,deep and broad fracture,Deep and broad fracture of the bones.
1100,1099,L-15.23,كسر هلالي,Kasr Hilālī,crescent fracture,Broad and long fracture of bones.
1101,1100,L-15.24,كسر سويقي/ كسر قضيبي/ كسر جوزي/ كسر جريشي,Kasr Sawīqī/ Kasr Qaḍībī/ Kasr Jawzī/ Kasr Jarīshī,Crushed fracture,Crushed fracture of the bones.
1102,1101,L-16,خلع,Khal‘,Dislocation of joint,It is the slipping out of a bone from joint.
1103,1102,L-16.1,خلع ضربي,Khal‘ Ḍarbī,Traumatic dislocation,"Dislocation of joints caused by two factors i.e. exogenous and endogenous. Exogenous factors, include trauma of the joint. Endogenous factors include the weakness of joint, ligaments etc."
1104,1103,L-16.2,خلع المفاصل,Khal‘ al-Mafāṣil,Dislocation of joints,Total deviation or displacement of bone from its adjoining bone.
1105,1104,L-16.3,خلع خلقي,Khal‘ Khilqī,Congenital dislocation,A type of dislocation which is present at birth. It is caused either by the abnormal position of the foetus in the uterus or by defect in the process of formation of structure in foetal life. The most common congenital dislocation is the dislocation of hip joint.
1106,1105,L-16.4,خلع مرضى/ خلع عرضي,Khal‘ Maraḍī/ Khal‘ ‘Arḍī,Pathologic dislocation,"A type of dislocation occurring due to joint diseases e.g. inflammation, pus formation or tubercular infection and other nerve disorders"
1107,1106,L-16.5,خلع تام/ خلع كامل,Khal‘ Tāmm/ Khal‘ Kāmil,Complete dislocation,When the head of the bone completely subluxates from its normal position
1108,1107,L-16.6,خلع غير تام/ خلع غير كامل/ خلع غير مكمل,Khal‘ Ghayr Tāmm/ Khal‘ Ghayr Kāmil/ Khal‘ Ghayr Mukammal,Incomplete dislocation,When the head of the bone partially subluxates from its normal position.
1109,1108,L-16.7,خلع مركب,Khal‘ Murakkab,Compound dislocation,When there is injury of the skin with dislocation.
1110,1109,L-16.8,خلع مضاعف,Khal‘ Muḍā‘af,Complicated dislocation,When there is injury of vessels and bones with dislocation. This is a complicated type of dislocation.
1111,1110,L-16.9,خلع كسرى,Khal‘ Kasrī,Fracture dislocation,When there is fracture with dislocation of bone.
1112,1111,L-17,وثیٰ,Wathā,Spraining,Partial displacement of the bone from its joint.
1113,1112,M,جراحت,Jarāḥat,Surgery,
1114,1113,M-1,جروح,Jurūḥ,Wounds,Breaches in the continuity of muscles and other tissues of the body.
1115,1114,M-1.1,جروح مفتوحہ/ جروح واضحہ,Jurūḥ Maftūḥa/ Jurūḥ Wāḍiḥa,Open wounds,Discontinuity of skin and mucous membrane which is exposed outside.
1116,1115,M-1.2,جروح قطعيہ,Jurūḥ Qaṭ‘iyya,Incised wounds,Wounds which are produced by sharp instruments or objects.
1117,1116,M-1.3,جروح وخزيہ,Jurūḥ Wakhiziyya,Penetrating wounds,Wounds caused by pointed sharp objects that involve skin and underlying tissues.
1118,1117,M-1.4,جروح مزقيہ,Jurūḥ Mazqiyya,Lacerated wounds,Wounds with irregular and jagged edges and characterised by the massive destruction of tissues.
1119,1118,M-1.5,جروح مسدسہ / جروح شش خانہ,Jurūḥ Musaddasa/ Jurūḥ Shashkhana,wounds having six edges,Wounds having six edges.
1120,1119,M-1.6,جروح رضيہ,Jurūḥ Raḍḍiyya,Contused wounds,Closed blunt wounds not involving skin.
1121,1120,M-1.7,جروح سميہ,Jurūḥ Sammiyya,Poisoned wounds,Wounds caused by the bite of poisonous animals.
1122,1121,M-1.8,جروح ناريہ/ جروح باروديہ,Jurūḥ Nāriyya/ Jurūḥ Bārūdiyya,Burnt or gunshot wounds,Wounds caused by burn.
1123,1122,M-1.9,جروح عفونيہ,Jurūḥ ‘Ufūniyya,suppurated wounds,Wounds that are infected and suppurated.
1124,1123,M-1.10,جروح غير عفونيہ /جروح غير ملوثہ,Jurūḥ Ghayr ‘Ufūniyya/ Jurūḥ Ghayr Mulawwatha,non-suppurated wounds,Wounds that are not infected and not suppurated.
1125,1124,M-2,تعفن الدم,Ta‘affun al-Dam,Septicaemia,"A systemic disease associated with the presence, multiplication and formation of septic emboli in the blood."
1126,1125,M-3,تسمم الدم,Tasammum al-Dam,Toxaemia,A condition which results from the spread of bacterial products or toxins in the blood stream.
1127,1126,M-4,تقيح الدم,Taqayyuḥ al-Dam,Pyemia,"Presence of pus in the blood with pyemic abscesses. This condition is marked by fevers, chills, sweating and abscess in various parts of the body."
1128,1127,M-5,قرحہ,Qarḥa,Ulcer,"Breach in the continuity of the epithelial membrane is known as ulcer. It is caused by some injury, abscess and skin eruptions."
1129,1128,M-5.1,قرحہ عرضيہ,Qarḥa ‘Arḍiyya,secondary ulcer,A type of ulcer caused by pus forming bacteria.
1130,1129,M-5.2,قرحہ نوعيہ,Qarḥa Naw‘iyya,specific infectious ulcer,"A type of ulcer caused by specific causative organism e.g. syphilitic ulcers, tuberculous ulcers, etc."
1131,1130,M-5.3,قرحہ خبيثہ/ قرحہ عفنہ,Qarḥa Khabītha/ Qarḥa ‘Afina,Lupoid ulcer/Malignant ulcer,A type of ulcer that doesn’t heal easily or the healing is delayed.
1132,1131,M-5.4,قرحہ مولمہ,Qarḥa Mūlima,Painful ulcer,A type of ulcer accompanied with pain.
1133,1132,M-5.5,قرحہ غيرمولمہ,Qarḥa Ghayr Mūlima,Painless ulcer,A type of ulcer not accompanied with pain.
1134,1133,M-5.6,قرحہ سليمہ,Qarḥa Salīma,Benign ulcer,A type of ulcer that is easily healed.
1135,1134,M-5.7,قرحة عسر الاندمال,Qarḥa ‘Asir al-Indimāl,Indolent ulcer/Callous ulcer,A type of ulcer that is difficult to heal e.g. varicose ulcer.
1136,1135,M-5.8,قرحہ خيرونيہ,Qarḥa Khayrūniyya,Tuberculous ulcer,"A grave kind of ulcer, named after the person <em>Khayrūn</em> who first suffered from this."
1137,1136,M-5.9,قرحہ ساعيہ,Qarḥa Sā‘iyya,Spreading ulcer,A type of ulcer that has the tendency to spread by the continous discharge of pus.
1138,1137,M-5.10,قرحہ احتراقيہ,Qarḥa Iḥtirāqiyya,cutaneous ulcer with sloughing,A type of ulcer found on the skin surface as a scar mark with dark sloughing. It is caused due to the accumulation of burnt black bile.
1139,1138,M-5.11,قرحہ قطاة,Qarḥa Qaṭāṭ,Decubitus ulcer/Bed sore,"A type of ulcer found in bed ridden patients. These ulcers are produced by the pressure, injury, anaemia and wet surface of the bed."
1140,1139,M-5.12,قرحہ نقيہ,Qarḥa Naqiyya,Non infected ulcer,Ulcer which is clean.
1141,1140,M-5.13,قرحہ غير نقيہ,Qarḥa Ghayr Naqiyya,Infected ulcer,Ulcer in which infection persists.
1142,1141,M-5.14,قرحہ لثقہ,Qarḥa Lathiqa,ulcer with viscid fluids,Ulcer in which there is plenty of viscid fluids.
1143,1142,M-5.15,قرحہ وسخہ,Qarḥa Wasikha,putrified ulcer,Ulcer in which there is putrified material.
1144,1143,M-5.16,قرحہ متاكلہ,Qarḥa Muta’akkila,Rodent ulcer,Ulcerating basal cell carcinoma of the skin.
1145,1144,M-5.17,قرحہ رهلہ/قرحہ ناثرہ,Qarḥa Rahla/ Qarḥa Nāthira,"ulcer, associated with falling of hair around it",Ulcer which is associated with falling of hair around it.
1146,1145,M-5.18,قرحہ رشاحہ,Qarḥa Rashshāḥa,Oozing ulcer,Ulcers with continuous discharge from them.
1147,1146,M-5.19,قرحہ حارہ,Qarḥa Ḥarra,acute ulcer,Ulcers which are hot in nature.
1148,1147,M-5.20,قرحہ باردہ,Qarḥa Bārida,chronic ulcer,Ulcers which are cold in nature.
1149,1148,M-5.21,قرحہ دواليہ,Qarha Dawaliyya,Varicose ulcer,An ulcer found on the legs because of stasis or stagnation of blood in the veins.
1150,1149,M-6,قروح بلخيہ,Qurūḥ Balkhiyya,Oriental sore,"Primarily, there is appearance of small papule on the skin. Later, there is increase in redness and burning. After about 10-15 days there is a formation of ulcer with intense red papule and crusts.There is a continous discharge from this ulcer and these are difficult to heal."
1151,1150,M-7,اوذيمہ,Ūdhīma,Oedema,Ūdhīma is a Greek word meaning phlegmatic swelling. It is formed by the predominance of phlegm. It causes pitting on the site of swelling.
1152,1151,M-8,عرق مديني,‘Irq Madīnī,Drancunculosis,"A type of parasitic disease. It starts with an eruption on the skin of the leg or hand or extremities or trunk more commonly on the calf muscles. After the ulceration of eruptions, a red thread like worm comes out from it which is quite long and its length gradually increases. This worm usually resides beneath the skin and creeps. There is pain at the site of worm. Sometimes, the number of these worms is about 40-50."
1153,1152,M-9,شفاقلوس,Shafāqalūs,Moist gangrene,It is a Greek word meaning decomposition of organs. It is a decomposed inflammation which is caused by putrified blood or without blood.
1154,1153,M-10,غانغرانا,Ghāngharānā,Gangrene,"An initial stage of <em>Shafāqalūs</em>, in which colour of the affected part slightly changes due to decayed and putrified blood. There is no loss of sensitivity of the part. The innate energy of the part remains preserved i.e. there is no destruction of tissues of the affected part."
1155,1154,M-10.1,غانغرانا يابسہ,Ghāngharānā Yābisa,Dry gangrene,"A type of gangrene caused by chronic obstruction of the arteries. In this condition the decayed organ becomes hard, dry and wrinkled. The colour of organ changes to dark brown."
1156,1155,M-10.2,غانغرانا رطبہ,Ghāngharānā Raṭba,Wet gangrene,Gangrene caused by obstruction of veins or occlusion of arteries abruptly.
1157,1156,M-10.3,غانغرانا رطبہ عفونيہ,Ghāngharānā Raṭba ‘Ufūniyya,Infected gangrene,"A rapidly spreading gangrene in which decaying process is fast. The colour of the affected part changes to yellow, green,black and leads to toxaemia."
1158,1157,M-10.4,غانغرانا عرضيہ,Ghāngharānā ‘Arḍiyya,secondary gangrene,A type of gangrene that occurs as a result of complication of some other disease. It is of many types.
1159,1158,M-10.5,غانغرانا سديہ,Ghāngharānā Suddiyya,Embolic gangrene,A type of gangrene that occurs as a result of obstruction of vessels.
1160,1159,M-10.6,غانغرانا شيخوخيہ,Ghāngharānā Shaykhūkhiyya,Senile gangrene,A type of gangrene that occurs in old age.
1161,1160,M-10.7,غانغرانا تخثريہ,Ghāngharānā Takhaththuriyya,Thrombotic gangrene,A type of gangrene that occurs due to the pressure of thrombus in the arteries.
1162,1161,M-10.8,غانغرانا ذيابطسيہ,Ghāngharānā Dhayābīṭusiyya,Diabetic gangrene,A type of gangrene that occurs due to diabetes.
1163,1162,M-10.9,غانغرانا جرحيہ,Ghāngharānā Jurḥiyya,Traumatic gangrene,A type of gangrene that occurs due to trauma or injury of a part.
1164,1163,M-10.10,غانغرانا برديہ,Ghāngharānā Bardiyya,cold exposure gangrene,A type of gangrene which develops when a part is exposed to extreme cold for a long duration of time.
1165,1164,M-10.11,غانغرانا حادة ساعيہ,Ghāngharānā Ḥādda Sā‘iyya,acutely spreading gangrene/gas gangrene,An acute infective type of gangrene which spreads very rapidly and is accompanied with swelling.
1166,1165,M-11,بثور,Buthūr,Eruptions,"A spot, rash or other mark appearing suddenly on the skin. According to content, they are classified into different types."
1167,1166,M-11.1,بثور صغار,Buthūr Ṣighār,small pustules,"According to Galen, small pustules are formed by the accumulation of morbid fluids which after being deviated towards skin gets collected in between the muscular layer and skin.This usually appears in those persons who have thick skin."
1168,1167,M-11.2,بثور الاصداغ,Buthūr al-Aṣdāgh,pustules of pinna,"A type of eruption which occurs on the external ear or pinna. These are small, red coloured papules. These are caused by the derangement of blood, mixed with fluids."
1169,1168,M-11.3,بثور الساق,Buthūr al-Sāq,calf pustules,"Big sized, black coloured eruptions from which black pus is discharged. They mostly occur at the calf muscles. These are caused due to the accumulation of morbid humours in the calf muscles."
1170,1169,M-11.4,بثور القفیٰ,Buthūr al-Qafā,pustules on nape of neck,"A type of abnormal eruptions which occur at nape of the neck. These are multiple, large and painful pustules. These are caused by acrid humour."
1171,1170,M-11.5,شيلم,Shīlam,pustular eruption of cheeks,A type of abnormal eruptions which appear on face and cheeks in the form of hard pustules with redness around them. It involves the whole face in later stage.
1172,1171,M-11.6,خلد,Khuld,persistent eruptions,Persistent eruptions on skin and mucous membrane.
1173,1172,M-11.7,بطم,Buṭm,papules on calf muscles,Black coloured large papules which occur on calf musles and are suppurated.
1174,1173,M-11.8,توثہ,Tūtha,mulberry nodules/ pustules,An ulcerated papule found on the cheeks and vagina. It resembles with mulberry. It occurs beneath the skin.
1175,1174,M-11.9,ذات الاصل,Dhāt al-Aṣl,pustules with hard roots,"Small, white coloured pustules with roots as hard as tumour. Their outer ends are filled with pus. These are melancholic in nature."
1176,1175,M-11.10,خافيہ ظاهرہ,Khāfiya Ẓāhira,acrid pustules,A type of pustules that appear at different sites. These are due to accumulation of acrid blood in the body.
1177,1176,M-12,اكياس,Akyās,Cysts,Fluctuant swelling which are more or less circular in shape and are filled with fluid or viscous material.
1178,1177,M-13,عقدہ,‘Uqda,nodule,Hard nodules present in an organ. These do not resolve even after a long period of time.
1179,1178,M-14,خنازير,Khanāzīr,Lymphadenopathy,"This is caused by the viscosity and derangement of the blood. There is predominance of black bile in the blood. Due to this, it accumulates in the organs causing swelling and inflammation."
1180,1179,M-15,ورم,Waram,Inflammation,It denotes the swelling of the organ due to the accumulation of viscous humours resulting in distension of the organs.
1181,1180,M-15.1,ورم ريحي,Waram Rīḥī,inflammation with gaseous distension,"In this type of swelling, gas gets accumulated in the spaces of organs. This is lighter in weight and cannot be pressed with pressure."
1182,1181,M-15.2,ورم حار,Waram Ḥārr,acute inflammation,Acute swelling of the organs characterised by severe clinical features.
1183,1182,M-15.3,ورم بارد,Waram Bārid,chronic inflammation,Swelling caused by cold humours.
1184,1183,M-15.4,ورم ساذج,Waram Sādhij,simple inflammation,Swelling occurs without putrifaction.
1185,1184,M-15.5,ورم مادي,Waram Māddī,inflammation with morbid matter,"Swelling that occurs due to the involvement of humours. It may be <em>Damawī</em>, <em>Balghamī</em>, <em>Ṣafrāwī</em> and <em>Sawdāwī</em>. When it involves blood it is known as <em>Falghamūnī</em>. When it involves yellow bile, it is known as <em>Namla wa Ḥumra</em>. When it involves black bile, it is known as <em>Saqīrūs</em> and when it involves phlegm it is known as <em>Waram Rikhw</em>."
1186,1185,M-15.6,فلغموني,Falghamūnī,Sanguineous inflammation,"Swelling of an organ due to the involvement of blood. As this swelling is warm in nature and is accompanied with burning, it is included in <em>Waram Ḥārr</em> (acute inflammation) but most of the time its matter is blood. In this condition the site of swelling is distended, with severe pain which aggravates on pressure. This is more marked in the vascular organs."
1187,1186,M-15.7,ورم رخو,Waram Rikhw,A transudative type of swelling.,A transudative type of swelling.
1188,1187,M-15.8,سقيروس,Saqīrūs,scirrhous inflammation,A type of chronic inflammation or swelling which is due to accumulation of black bile characterized by stony hardness and loss of sensation and pain. It starts with small swelling which later grows and sometimes it may transform into cancer. It is of two types: <em>Saqīrūs Khāliṣ</em> and <em>Saqīrūs Ghayr Khāliṣ</em>.
1189,1188,M-16,سلعات,Sal‘āt,Tumours,A type of movable swelling with varying size from gram seed to watermelon.
1190,1189,M-16.1,سلعہ سليمہ,Sal‘a Salīma,Benign tumour,"A tumour, formed by the tissues of some organs. These are often encapsulated and do not spread. They don’t recur once removed."
1191,1190,M-16.2,سلعہ خبيثہ,Sal‘a Khabītha,Malignant tumour,A type of spreading and recurring tumour. Sometimes these become ulcerated from which pus and other material comes out. These are accompanied with anaemia and general weakness of the body.
1192,1191,M-16.3,سلعہ شحميہ,Sal‘a Shaḥmiyya,Lipoma,The content of this type of tumour is fat which is white in colour and very hard and can’t be compressed on pressure.
1193,1192,M-16.4,سلعہ عسليہ,Sal‘a ‘Asaliyya,soft tumour,The content of this type of tumour resembles with that of honey. It is somewhat liquid and yellow in colour.
1194,1193,M-16.5,سلعہ اردهاليہ,Sal‘a Ardahāliyya,a type of benign tumour,Contents of this type of tumour resemble with <em>Ardhāla</em> i.e. a semi solid preparation made of flour and clarified butter.
1195,1194,M-16.6,سلعہ شيرازيہ,Sal‘a Shīrāziyya,a type of benign tumour,Contents of this type of tumour resemble a curry named <em>Shīrāzī</em> which is white in colour and prepared with milk. It is somewhat similar to <em>Ḥarīra</em>.
1196,1195,M-16.7,سلعہ بلغميہ,Sal‘a Balghamiyya,Myxoma,"A tumour that occurs in face, urinary bladder, intestine, nerves and spinal cord. Content of this tumour are phlegm or phlegm like humour."
1197,1196,M-16.8,سلعہ غضروفيہ,Sal‘a Ghuḍrūfiyya,Enchondroma,"A tumour that occurs in retina, brain and spinal cord. It is composed of cartilaginous matter."
1198,1197,M-16.9,سلعہ ليفيہ,Sal‘a Līfiyya,Fibroma,Contents of this type of tumour are fibrous and hair like. It is commonly found in the uterus.
1199,1198,M-16.10,سلعہ عظميہ,Sal‘a ‘Aẓmiyya,Osteoma,A type of tumour found on the margins of long bones and it causes pain when it compresses the nerve.
1200,1199,M-16.11,سلعہ سنيہ,Sal‘a Sinniyya,Odontoma,A type of tumour that is found around the teeth.
1201,1200,M-16.12,سلعہ عصبيہ,Sal‘a ‘Aṣabiyya,Neuroma,A rare type of tumour which occurs on face or neck. This is formed from nerve fibres along with other tissues. It is not a fatal condition.
1202,1201,M-16.13,سلعہ عروقيہ,Sal‘a ‘Urūqiyya,Angioma,A type of tumour which occurs in the blood vessels.
1203,1202,M-16.14,سلعہ عضليہ,Sal‘a ‘Aḍaliyya,Myoma,"A type of tumour which occurs in uterus, prostate glands and GI tract."
1204,1203,M-16.15,سلعہ مخيہ,Sal‘a Mukhkhiyya,Myeloma,A type of tumour which arises from bone marrow.
1205,1204,M-16.16,سلعہ غديہ,Sal‘a Ghuddiyya,Adenoma,Tumour of the glands.
1206,1205,M-16.17,سلعہ حلميہ,Sal‘a Ḥalamiyya,Papilloma,A type of tumour of semi lunar shape.
1207,1206,M-17,سرطان,Saraṭan,Carcinoma,"Its literal meaning is “crab” as it sticks to its prey like a crab. It is a type of malignant, melancholic swelling which can occur anywhere in the body. It starts with a small swelling which gradually increases with time. It spreads very rapidly and the roots of this swelling are deep with prominent vessels. Sometimes it appears due to the accumulation of burnt yellow bile and phlegm."
1208,1207,M-17.1,سرطان متقرح,Saraṭan Mutaqarriḥ,Ulcerated malignant tumour,This malignant swelling is associated with ulceration and purulent discharge.
1209,1208,M-18,نملہ/ ساعيہ,Namla/ Sā‘iya,Herpes,Its literal meaning is ‘ant’. These are one or more small red papules which cause severe burning and itching. This burning is similar to ant bite. These red papules spread along one line like ant that is why it is known as <em>Namla</em> or <em>Sā‘iya</em>. Its cause is the preponderance of bile or any abnormality in bile. It is of many types.
1210,1209,M-18.1,نملہ ساذجہ,Namla Sādhija,Herpes simplex/ Fever blister/Cold sore,When the red papules affect only the upper surface of the skin and cause burning and itching. It is due to the accumulation of yellow bile under the skin.
1211,1210,M-18.2,نملہ متاكلہ,Namla Muta’akkila,Rodentine herpes,When the papules get ulcerated these are known as <em>Namla Muta’akkila</em>.
1212,1211,M-18.3,نملہ شفويہ,Namla Shafawiyya,Herpes labialis,"When the red papules appear on the lips, crusting appears with in 6-8 days and they finally disappear."
1213,1212,M-18.4,نملہ ختانيہ,Namla Khitāniyya,Herpes genitalis,When the red papules appear on the prepuce internally or externally. These cause severe itching and form blisters and internal papules which later changes into ulcers. External papules disappear within 7-8 days. Sometimes papules appear gradually which causes hardening of the prepuce.
1214,1213,M-18.5,نملہ منطقيہ/ نملہ ناريہ,Namla Minṭaqiyya/ Namla Nāriyya,Herpes zoster,"In this condition eruptions appear on the line of distribution of nerves which changes into transparent papules and causes severe burning and itching. Later, blisters with crusting appear within 10-14 days."
1215,1214,M-18.6,نملہ منطقيہ جبهيہ,Namla Minṭaqiyya Jabhiyya,Herpes zoster ophthalmicus,"In this condition, papules occur along the ophthalmic division of trigeminal nerve. These are generally accompanied by conjunctivitis and sometimes by keratitis."
1216,1215,M-18.7,نملہ قزحيہ,Namla Qazḥiyya,vesicular herpes,A type of erythema in which vesicles occur. It is devoid of neuralgic pain. It usually subsides in four weeks.
1217,1216,M-18.8,نملہ جاورسيہ,Namla Jāwarsiyya,miliary herpes,"In this condition the papules are millet shaped. These are white in colour with red roots. They cause burning, pain and swelling at the site."
1218,1217,M-19,نفاطات,Naffāṭāt,Blisters,"Eruptions of the skin in the form of bullous, containing watery fluid and sometimes blood. These resemble the blisters which are produced after burns. This is caused by the dilution of blood and collection of fluid beneath the skin which later on takes the shape of blisters. It is of two types: acute and chronic."
1219,1218,M-19.1,نفاطات طفليہ,Naffāṭāt Ṭafliyya,Impetigo,Blisters which occur during childhood. These blisters rupture quickly and black crust appears on them followed by the formation of cicatrix.
1220,1219,M-19.2,نفاطات غانغرانيہ,Naffāṭāt Ghāngharāniyya,gangrenous blitsers,Sometimes blisters are accompanied with infection and decomposition of the tissues. This condition leads to weakness and death of the patient.
1221,1220,M-19.3,نفاطات طبقيہ,Naffāṭāt Ṭabaqiyya,superimposed blisters,Initially a blister appears on the upper trunk then gradually small blisters appear around it which later join and yellow crust appears on these blisters. A specific type of smell occurs in the patient.
1222,1221,M-20,نفاخات,Naffākhāt,gas filled blisters,Blisters containing gases in place of fluids.
1223,1222,M-21,جمرہ/ شب چراغ,Jamra/ Shab Chirāgh,Carbuncle,Collection of flat red papules which causes severe burning sensation resembling to fire burn. It immediately forms crusting of brown colour. It is caused by predominance of black bile.
1224,1223,M-22,نار فارسي,Nār Fārsī,Eczema,"Eruptions of the skin which are encrusted immediately after appearance. There is intense burning in these eruptions. There are reddish greenish lines on the skin at the site of eruptions which resemble flame of fire. Hence it is called <em>Nār Fārsī</em>. <em>Nār Fārsī</em>, is classified into many types depending on the nature of eruptions. These are plain, reddish, vesicular, pustular, hard and <em>Shuqāqī</em>."
1225,1224,M-23,طاعون,Ṭā‘ūn,Plague,"The word <em>Ṭā‘ūn</em> is an altered form of the Unani word <em>Ṭay‘ūn</em> meaning inflammation of lymph glands of the body. It is the swelling of the body which is accompanied with severe pain and burning. The colour of the skin surrounding the swelling becomes blackish, reddish, bluish or greenish. It usually spreads in the form of epidemic. It is caused by poisonous substances which destroy the affected organs."
1226,1225,M-23.1,طاعون غددي,Ṭā‘ūn Ghudadī,Bubonic plague,"Inflammation accompanied with swelling of the lymph glands of axilla, groin and neck. Before swelling there is high grade fever with rigors and chills, headache, nausea and vomiting. But after the appearance of swelling of lymph glands these symptoms subside."
1227,1226,M-23.2,طاعون عفوني,Ṭā‘ūn ‘Ufūnī,Septicaemic plague,"The most severe and grave type of plague. In this condition there is generalized swelling of all the lymph glands of the body accompanied with fever, delirium, vomiting, diarrhoea and haemorrhage. Patient suffering from this type usually dies within 24 hours."
1228,1227,M-23.3,طاعون رئوي,Ṭā‘ūn Ri’wī,Pneumonic plague,"It is a highly infectious type of plague in which infection spreads through droplets characterized by high fever, cough, passing of blood while coughing. This type has a bad prognosis."
1229,1228,M-24,آكلہ,Ākila,Cancrum,A gangrenous ulcer of any part of the body.
1230,1229,M-25,اورام المغابن/ باغرہ,Awrām al-Maghābin/ Bāghira,Buboes,"Inflammation, swelling and enlargement of the lymph glands of axilla and groin due to infections such as syphilis, tuberculosis, gonorrhoea, etc. It is due to the collection of morbid material from the organs. It can also be due to some ulcers of the skin."
